InstitutionID,University,City,State,Latitude,Longitude,Rank,Market Saturation Percentile,AE Percentile,aCFI Percentile,Collegiate Survivability Index (CSI),Endowment,Total Assets,Net Assets,Liabilities,CSI_Quantile,Quantile_Group,Quantile_Label
191515,Hamilton College,Clinton,NY,43.12430275,-77.79839481733976,225,0.4247897680065803,0.550146870125557,0.6038574221203401,0.5215115278964904,1562290689.945,1850160274.319,1752416806.508,97743467.81100012,Healthy,5,Healthy
174862,Crown College,Saint Bonifacius,MN,43.01711285,-76.11855360009726,226,0.373474912795458,0.9517117937951478,0.454170842517281,0.5213589763819695,12491070.895,66780322.433,36764359.331,30015963.102,Healthy,5,Healthy
209056,Lewis & Clark College,Portland,OR,36.0675102,-79.77963822343997,227,0.5663126955366878,0.5482463444867371,0.462006427121814,0.5209578633421702,340541827.839,504449159.689,404052901.574,100396258.115,Healthy,5,Healthy
176053,Mississippi College,Clinton,MS,35.237431,-82.72641122025428,228,0.5267588670513575,0.5707693318794127,0.484267057473673,0.5185513367774964,90335905.662,293720854.997,244860710.34,48860144.656999975,Healthy,5,Healthy
217059,York College of Pennsylvania,York,PA,36.00015569999999,-78.94422972195878,229,0.5332618193128897,0.504392103553857,0.5093263509169119,0.5179117886805887,193108158.109,587417045.672,505015113.34,82401932.33200008,Healthy,5,Healthy
110413,California Lutheran University,Thousand Oaks,CA,36.0713888,-79.8008558023214,230,0.5399768624447843,0.5872268791968583,0.4567232349998009,0.5161040390900415,177402642.081,291829516.779,350223900.924,-58394384.14500004,Healthy,5,Healthy
145725,Illinois Institute of Technology,Chicago,IL,35.9720859,-79.9936582,231,0.5182925527486846,0.6679758764134154,0.4378275392983257,0.5160121507664306,325075410.805,805460693.009,370980480.438,434480212.5709999,Healthy,5,Healthy
153269,Drake University,Des Moines,IA,35.671286949999995,-80.48567951259292,232,0.5202499542320284,0.5552824281582414,0.491785309106828,0.5158613947907732,309201195.819,625030948.237,570704733.766,54326214.47099996,Healthy,5,Healthy
207971,University of Tulsa,Tulsa,OK,35.13408025,-78.87242991721607,233,0.4284140791504902,0.5747954969046596,0.5728737836215818,0.5154884982888795,774445314.685,1801845992.795,1697265785.199,104580207.5960002,Healthy,5,Healthy
141167,Thomas University,Thomasville,GA,36.01543505,-77.77490978880125,234,0.471075167794465,0.7233620926853201,0.4555168761342528,0.5152808957577301,7590070.348,24522417.453,20132489.014,4389928.439000003,Healthy,5,Healthy
126669,Colorado Christian University,Lakewood,CO,35.486454300000005,-80.2821503180376,235,0.5063576493567007,0.6733517208023402,0.4405895895092206,0.5134193866877225,13890359.104,252876765.801,137754561.493,115122204.308,Healthy,5,Healthy
182670,Dartmouth College,Hanover,NH,41.37161015,-81.84848946631152,236,0.6415846306462345,0.5839291245060072,0.3498895539236458,0.513322925264423,10766698370.633,13491958902.988,13616063894.734,-124104991.74599838,Healthy,5,Healthy
175227,Dunwoody College of Technology,Minneapolis,MN,40.90423869999999,-81.1106865488107,237,0.5261605825460808,0.4126176753303306,0.5496370093352185,0.5128586213946652,130298819.49,245974627.092,221798731.882,24175895.21000001,Healthy,5,Healthy
208822,George Fox University,Newberg,OR,40.76557505,-83.83356241022632,238,0.5438314854588333,0.542877078828297,0.4654473819482522,0.5122713813484545,34297851.568,311478846.914,225323857.985,86154988.92899996,Healthy,5,Healthy
194091,New York Institute of Technology,Old Westbury,NY,40.292858,-83.06427625448865,239,0.5733194677867111,0.4995149168369819,0.4564501879378849,0.51179485225636,91086998.448,459848391.722,333619944.249,126228447.473,Healthy,5,Healthy
239716,Saint Norbert College,De Pere,WI,40.127744,-82.93627779442062,240,0.5122518599141151,0.5347442574602791,0.4970734629554855,0.5106736957207497,185309261.437,400682084.299,375749470.991,24932613.308000028,Healthy,5,Healthy
226231,LeTourneau University,Longview,TX,44.9355889,-123.03081292503312,241,0.5388906962492359,0.5816547659072826,0.4460779791864781,0.5102955844053638,33535602.32,136351461.74,143774586.905,-7423125.164999992,Healthy,5,Healthy
