InstitutionID,University,City,State,Religion,Market_Saturation_Percentile,Academic_Efficiency_Percentile,aCFI_Percentile,Survivability,FullAddress,lat,lon,Quantile_Label,Quantile_Group,Rank,Universities_in_State
143358,Bradley University,Peoria,IL,Not applicable,0.6675,0.5820000000000001,0.49439999999999995,0.58113,"Bradley University, Peoria, IL",40.6981131,-89.61551386208208,Strong,6,137,42
144281,Columbia College Chicago,Chicago,IL,Not applicable,0.9608,0.4904,0.4829,0.67551,"Columbia College Chicago, Chicago, IL",41.8742404,-87.6247913,Elite,7,81,42
145646,Illinois Wesleyan University,Bloomington,IL,Not applicable,0.457,0.4235,0.508,0.47072,"Illinois Wesleyan University, Bloomington, IL",40.49242715,-88.99042108232373,Secure,4,346,42
145725,Illinois Institute of Technology,Chicago,IL,Not applicable,0.5351,0.5584,0.48560000000000003,0.51994,"Illinois Institute of Technology, Chicago, IL",41.83616405,-87.62647227745128,Healthy,5,223,42
147536,National Louis University,Chicago,IL,Not applicable,0.6679,0.6776000000000001,0.4964,0.60119,"National Louis University, Chicago, IL",41.87990865,-87.62490237384526,Strong,6,121,42
147767,Northwestern University,Evanston,IL,Not applicable,0.9939,0.9987,0.5168,0.80388,"Northwestern University, Evanston, IL",42.0557157,-87.67529454739416,Elite,7,6,42
148405,Rockford University,Rockford,IL,Not applicable,0.3383,0.41450000000000004,0.4996,0.41808999999999996,"Rockford University, Rockford, IL",42.2683388,-89.01867338002917,Vulnerable,2,598,42
148487,Roosevelt University,Chicago,IL,Not applicable,0.627,0.5275,0.4813,0.5488000000000001,"Roosevelt University, Chicago, IL",41.87613485,-87.6251816505098,Strong,6,170,42
149639,VanderCook College of Music,Chicago,IL,Not applicable,0.24600000000000002,0.3821,0.49079999999999996,0.37119,"VanderCook College of Music, Chicago, IL",41.83676195,-87.6291654,Critical,0,804,42
150163,Butler University,Indianapolis,IN,Not applicable,0.9384999999999999,0.5937,0.4976,0.69312,"Butler University, Indianapolis, IN",39.8407191,-86.17374943464814,Elite,7,76,23
151290,Indiana Institute of Technology,Fort Wayne,IN,Not applicable,0.49920000000000003,0.4157,0.5068,0.48556,"Indiana Institute of Technology, Fort Wayne, IN",41.07754835,-85.11768473673075,Healthy,5,296,23
152673,Wabash College,Crawfordsville,IN,Not applicable,0.3932,0.4048,0.5501,0.45832,"Wabash College, Crawfordsville, IN",40.0367517,-86.90726990345898,Secure,4,398,23
153269,Drake University,Des Moines,IA,Not applicable,0.537,0.5462,0.5191,0.53167,"Drake University, Des Moines, IA",41.60307425,-93.65527531803741,Strong,6,193,25
153384,Grinnell College,Grinnell,IA,Not applicable,0.4384,0.4321,0.6037,0.50331,"Grinnell College, Grinnell, IA",41.75111985,-92.71984863278584,Healthy,5,258,25
153861,Maharishi International University,Fairfield,IA,Not applicable,0.25170000000000003,0.4836,0.4876,0.39246000000000003,"Maharishi International University, Fairfield, IA",41.023532,-91.96396696626837,At-Risk,1,725,25
154493,Upper Iowa University,Fayette,IA,Not applicable,0.2939,0.46299999999999997,0.47850000000000004,0.40158,"Upper Iowa University, Fayette, IA",42.83958545,-91.79330429016619,At-Risk,1,673,25
155937,Sterling College,Sterling,KS,Not applicable,0.2905,0.3848,0.48960000000000004,0.38904000000000005,"Sterling College, Sterling, KS",38.2199775,-98.20912245441116,Critical,0,738,17
156189,Alice Lloyd College,Pippa Passes,KY,Not applicable,0.30469999999999997,0.38170000000000004,0.5761,0.42873,"Alice Lloyd College, Pippa Passes, KY",37.3362011,-82.87339228684898,Vulnerable,2,546,16
160755,Tulane University of Louisiana,New Orleans,LA,Not applicable,0.9365000000000001,0.8659,0.4968,0.74638,"Tulane University of Louisiana, New Orleans, LA",29.95794375,-90.07785846248962,Elite,7,44,8
160959,College of the Atlantic,Bar Harbor,ME,Not applicable,0.26530000000000004,0.3897,0.5175,0.39110999999999996,"College of the Atlantic, Bar Harbor, ME",44.39407415,-68.21999264324018,At-Risk,1,729,9
161004,Bowdoin College,Brunswick,ME,Not applicable,0.4172,0.4416,0.5643,0.48095999999999994,"Bowdoin College, Brunswick, ME",43.90869735,-69.96142281131719,Healthy,5,312,9
161022,Maine College of Health Professions,Lewiston,ME,Not applicable,0.23920000000000002,0.39280000000000004,0.0013,0.17466,"Maine College of Health Professions, Lewiston, ME",,,Critical,0,843,9
161086,Colby College,Waterville,ME,Not applicable,0.5004,0.4558,0.5219,0.5001,"Colby College, Waterville, ME",44.5684775,-69.66002565150262,Healthy,5,266,9
161457,University of New England,Biddeford,ME,Not applicable,0.4618,0.5667,0.5064,0.50061,"University of New England, Biddeford, ME",43.4591747,-70.38622144492447,Healthy,5,262,9
161509,Maine College of Art & Design,Portland,ME,Not applicable,0.2736,0.3932,0.4916,0.38476,"Maine College of Art & Design, Portland, ME",,,Critical,0,748,9
161563,Thomas College,Waterville,ME,Not applicable,0.30079999999999996,0.4094,0.5015999999999999,0.40287999999999996,"Thomas College, Waterville, ME",44.5223921,-69.66334775027758,At-Risk,1,664,9
162061,Capitol Technology University,Laurel,MD,Not applicable,0.3468,0.3994,0.5,0.41863999999999996,"Capitol Technology University, Laurel, MD",39.04698215,-76.85145270190938,Vulnerable,2,594,13
162654,Goucher College,Baltimore,MD,Not applicable,0.3871,0.4321,0.5084000000000001,0.44465000000000005,"Goucher College, Baltimore, MD",39.408995,-76.59287091567526,Stable,3,456,13
162928,Johns Hopkins University,Baltimore,MD,Not applicable,0.9934000000000001,0.9987,0.5068,0.79967,"Johns Hopkins University, Baltimore, MD",39.33020225,-76.62185357858337,Elite,7,9,13
163295,Maryland Institute College of Art,Baltimore,MD,Not applicable,0.35979999999999995,0.4733,0.4988,0.43811999999999995,"Maryland Institute College of Art, Baltimore, MD",39.3050505,-76.61976099495374,Stable,3,495,13
163976,St. John's College,Annapolis,MD,Not applicable,0.35009999999999997,0.3967,0.5335,0.43283,"St. John's College, Annapolis, MD",38.98228315,-76.49223748074706,Stable,3,520,13
164173,Stevenson University,Owings Mills,MD,Not applicable,0.884,0.5028,0.4932,0.6514,"Stevenson University, Owings Mills, MD",39.4272656,-76.77650761968783,Elite,7,89,13
164216,Washington College,Chestertown,MD,Not applicable,0.389,0.4036,0.5186999999999999,0.44384,"Washington College, Chestertown, MD",39.218376,-76.06925670472985,Stable,3,461,13
164270,McDaniel College,Westminster,MD,Not applicable,0.6187,0.484,0.4996,0.54411,"McDaniel College, Westminster, MD",39.58516815,-77.00372758695082,Strong,6,178,13
